Subject,Type,Timepoint,Rating,BRat
5edfb0770fb0722aa3839b6d,Self,Current,1,0.000228311
5b32c0ff975e260001e97d0e,Self,Current,1,0.000228311
5ee232f2b970662cfa352567,Self,Current,3,0.5
5eb52896e034073a7b8aa981,Self,Current,4,0.749885845
5cf21b7b2456d90001ee8e40,Self,Current,2,0.250114155
5eb02a40b17a8c0868685d32,Self,Current,3,0.5
5953d01e4d560700016462da,Self,Current,1,0.000228311
5c6a36214fbf270001311702,Self,Current,3,0.5
5ed062703c9248144a334cb4,Self,Current,3,0.5
5e065bba5a342503b3f3e0bc,Self,Current,3,0.5
5eaa6339b2e5311e8e020396,Self,Current,3,0.5
5ede8a971588b310e81f852f,Self,Current,3,0.5
5e2039ccf0b71e34ef9c60a2,Self,Current,2,0.250114155
5e8be450affef10d24343a7f,Self,Current,2,0.250114155
5a04869ff2e3460001edad2e,Self,Current,2,0.250114155
5d4a41890e604c00011ade8b,Self,Current,2,0.250114155
5d5fa32a0fc94a0001632ac7,Self,Current,2,0.250114155
5d344bd3b0f315001a122275,Self,Current,2,0.250114155
5df162b6c76aa6080c4c7694,Self,Current,4,0.749885845
546f8a9cfdf99b4a593414ea,Self,Current,1,0.000228311
5dc47ddd034b45342d3b2e3a,Self,Current,1,0.000228311
5a21b2e1e473b80001baaa09,Self,Current,2,0.250114155
5c2d187569ceff00011417de,Self,Current,3,0.5
5687d85e369319000c269c55,Self,Current,4,0.749885845
5e1f938b06121f2be0d1ead4,Self,Current,2,0.250114155
5eac6f1aa8b3bb0dcfebeba9,Self,Current,2,0.250114155
5eb635754bbde6534e62c05e,Self,Current,2,0.250114155
5d7b2e78698dea001853b5ec,Self,Current,3,0.5
5bfd81fb2feab400014d9060,Self,Current,3,0.5
5dd1964987c1fd2082c4d88e,Self,Current,2,0.250114155
5d7af4ee784e52001b9b02da,Self,Current,3,0.5
5e8fa34befd9542a66b02feb,Self,Current,3,0.5
5e820eb36551aa02fd72e1dc,Self,Current,3,0.5
5de01c13c3a15e0a03332169,Self,Current,3,0.5
5ea5d2b8d2bc3308f7af06d5,Self,Current,3,0.5
59c6305e6a287600011c388d,Self,Current,3,0.5
57a761c22fc0d400012c9656,Self,Current,3,0.5
5d83d2f1ae7a8b00017ec6a9,Self,Current,2,0.250114155
56e130548b1c33000a388671,Self,Current,1,0.000228311
