"","Subject","item","experienced1","experienced2","experienced3","experienced4","remembered2","remembered3","remembered4","memdev2","memdev3","memdev4","currdev2","currdev3","currdev4"
"171","GU029","fear",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","GU029","frustration",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","GU029","sadness",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","GU029","shock",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","GU030","anger",3,4,NA,NA,5,NA,NA,2,NA,NA,1,NA,NA
"176","GU030","confusion",5,3,NA,NA,5,NA,NA,0,NA,NA,-2,NA,NA
"177","GU030","fear",5,3,NA,NA,5,NA,NA,0,NA,NA,-2,NA,NA
"178","GU030","frustration",4,3,NA,NA,5,NA,NA,1,NA,NA,-1,NA,NA
"179","GU030","sadness",3.5,4,NA,NA,5,NA,NA,1.5,NA,NA,0.5,NA,NA
"180","GU030","shock",3,1,NA,NA,5,NA,NA,2,NA,NA,-2,NA,NA
"181","GU031","anger",4,4,NA,NA,5,NA,NA,1,NA,NA,0,NA,NA
"182","GU031","confusion",4,4,NA,NA,4,NA,NA,0,NA,NA,0,NA,NA
"183","GU031","fear",3,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"184","GU031","frustration",4,5,NA,NA,5,NA,NA,1,NA,NA,1,NA,NA
"185","GU031","sadness",5,5,NA,NA,5,NA,NA,0,NA,NA,0,NA,NA
"186","GU031","shock",5,NA,NA,NA,5,NA,NA,0,NA,NA,NA,NA,NA
"187","GU032","anger",3,3,NA,NA,3,NA,NA,0,NA,NA,0,NA,NA
"188","GU032","confusion",5,3,NA,NA,3,NA,NA,-2,NA,NA,-2,NA,NA
"189","GU032","fear",5,3,NA,NA,5,NA,NA,0,NA,NA,-2,NA,NA
"190","GU032","frustration",5,4,NA,NA,3,NA,NA,-2,NA,NA,-1,NA,NA
"191","GU032","sadness",4,4,NA,NA,5,NA,NA,1,NA,NA,0,NA,NA
"192","GU032","shock",5,4,NA,NA,5,NA,NA,0,NA,NA,-1,NA,NA
"193","GU033","anger",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","GU033","confusion",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","GU033","fear",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","GU033","frustration",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","GU033","sadness",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","GU033","shock",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","GU034","anger",4,4,NA,2,5,NA,5,1,NA,1,0,NA,-2
"200","GU034","confusion",2,2,NA,2,4,NA,3,2,NA,1,0,NA,0
"201","GU034","fear",2,3,NA,3,3,NA,3,1,NA,1,1,NA,1
"202","GU034","frustration",4,2,NA,4,4,NA,5,0,NA,1,-2,NA,0
"203","GU034","sadness",4,3,NA,4.5,5,NA,4,1,NA,0,-1,NA,0.5
"204","GU034","shock",4,3,NA,3,5,NA,4,1,NA,0,-1,NA,-1
"205","GU035","anger",3.5,4,3.5,NA,4,4,NA,0.5,0.5,NA,0.5,0,NA
"206","GU035","confusion",1.5,1,1,NA,2,4,NA,0.5,2.5,NA,-0.5,-0.5,NA
"207","GU035","fear",1,3,1.5,NA,3,4,NA,2,3,NA,2,0.5,NA
"208","GU035","frustration",1.5,1,1,NA,3,2.5,NA,1.5,1,NA,-0.5,-0.5,NA
"209","GU035","sadness",2.5,2,1,NA,4,3.5,NA,1.5,1,NA,-0.5,-1.5,NA
"210","GU035","shock",2,3,1.5,NA,5,5,NA,3,3,NA,1,-0.5,NA
"211","GU036","anger",2,NA,4,2,NA,2,2,NA,0,0,NA,2,0
"212","GU036","confusion",4,NA,1,2,NA,3,2.25,NA,-1,-1.75,NA,-3,-2
"213","GU036","fear",1,NA,1,1,NA,2,1,NA,1,0,NA,0,0
"214","GU036","frustration",3,NA,4,3,NA,4,4,NA,1,1,NA,1,0
"215","GU036","sadness",4,NA,1.5,2,NA,4,4,NA,0,0,NA,-2.5,-2
"216","GU036","shock",4,NA,1,4,NA,2.5,4,NA,-1.5,0,NA,-3,0
"217","GU037","anger",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","GU037","confusion",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","GU037","fear",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220","GU037","frustration",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","GU037","sadness",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","GU037","shock",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223","GU038","anger",5,4,2.5,3,5,5,5,0,0,0,-1,-2.5,-2
"224","GU038","confusion",2,1,1,1,3,3,3.75,1,1,1.75,-1,-1,-1
"225","GU038","fear",3,2,1.5,1.25,3,2.5,2.5,0,-0.5,-0.5,-1,-1.5,-1.75
"226","GU038","frustration",4,2,2,2.25,4,3.5,5,0,-0.5,1,-2,-2,-1.75
"227","GU038","sadness",3,2,3.5,2.75,4,5,4.25,1,2,1.25,-1,0.5,-0.25
"228","GU038","shock",2,1,1,1,3,4,2.25,1,2,0.25,-1,-1,-1
"229","GU039","anger",5,5,3,NA,5,3,NA,0,-2,NA,0,-2,NA
"230","GU039","confusion",4,5,2,NA,5,5,NA,1,1,NA,1,-2,NA
"231","GU039","fear",5,5,3,NA,5,3,NA,0,-2,NA,0,-2,NA
"232","GU039","frustration",5,5,4,NA,5,4,NA,0,-1,NA,0,-1,NA
"233","GU039","sadness",5,5,4,NA,5,4,NA,0,-1,NA,0,-1,NA
"234","GU039","shock",5,NA,2,NA,5,4,NA,0,-1,NA,NA,-3,NA
"235","GU040","anger",4,4,4,NA,3,4,NA,-1,0,NA,0,0,NA
"236","GU040","confusion",3,2,2,NA,4,4,NA,1,1,NA,-1,-1,NA
"237","GU040","fear",2,2,2,NA,2,3,NA,0,1,NA,0,0,NA
"238","GU040","frustration",3,3,2,NA,4,3,NA,1,0,NA,0,-1,NA
"239","GU040","sadness",4,4,3,NA,4,4,NA,0,0,NA,0,-1,NA
"240","GU040","shock",5,2,2,NA,4,5,NA,-1,0,NA,-3,-3,NA
"241","GU041","anger",5,5,5,NA,5,5,NA,0,0,NA,0,0,NA
"242","GU041","confusion",3,3,1,NA,4,4,NA,1,1,NA,0,-2,NA
"243","GU041","fear",3,1,1,NA,4,5,NA,1,2,NA,-2,-2,NA
"244","GU041","frustration",5,5,5,NA,5,5,NA,0,0,NA,0,0,NA
"245","GU041","sadness",5,5,4,NA,5,5,NA,0,0,NA,0,-1,NA
"246","GU041","shock",4,3,1,NA,5,5,NA,1,1,NA,-1,-3,NA
"247","GU042","anger",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","GU042","confusion",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","GU042","fear",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","GU042","frustration",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","GU042","sadness",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","GU042","shock",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","GU043","anger",3,NA,NA,2,NA,NA,2,NA,NA,-1,NA,NA,-1
"254","GU043","confusion",4,NA,NA,2,NA,NA,4,NA,NA,0,NA,NA,-2
"255","GU043","fear",2,NA,NA,2,NA,NA,3,NA,NA,1,NA,NA,0
"256","GU043","frustration",4,NA,NA,3.5,NA,NA,4,NA,NA,0,NA,NA,-0.5
"257","GU043","sadness",3,NA,NA,2.5,NA,NA,4,NA,NA,1,NA,NA,-0.5
"258","GU043","shock",4,NA,NA,3,NA,NA,4,NA,NA,0,NA,NA,-1
"259","GU044","anger",4,NA,2,2,NA,2,2,NA,-2,-2,NA,-2,-2
"260","GU044","confusion",4,NA,1,2,NA,1,2,NA,-3,-2,NA,-3,-2
"261","GU044","fear",4.5,NA,3,2.5,NA,4,4,NA,-0.5,-0.5,NA,-1.5,-2
"262","GU044","frustration",4,NA,1,2,NA,1,2,NA,-3,-2,NA,-3,-2
"263","GU044","sadness",4,NA,2,3,NA,4,4,NA,0,0,NA,-2,-1
"264","GU044","shock",5,NA,1,NA,NA,3,4,NA,-2,-1,NA,-4,NA
"265","GU045","anger",4,4,NA,NA,4,NA,NA,0,NA,NA,0,NA,NA
"266","GU045","confusion",3,2.5,NA,NA,3.5,NA,NA,0.5,NA,NA,-0.5,NA,NA
"267","GU045","fear",3,3,NA,NA,4.5,NA,NA,1.5,NA,NA,0,NA,NA
"268","GU045","frustration",4,3,NA,NA,3.5,NA,NA,-0.5,NA,NA,-1,NA,NA
"269","GU045","sadness",3.5,3.5,NA,NA,3.5,NA,NA,0,NA,NA,0,NA,NA
"270","GU045","shock",5,4.5,NA,NA,5,NA,NA,0,NA,NA,-0.5,NA,NA
"271","GU046","anger",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","GU046","confusion",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","GU046","fear",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","GU046","frustration",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","GU046","sadness",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","GU046","shock",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","GU047","anger",3,2,NA,NA,4,NA,NA,1,NA,NA,-1,NA,NA
"278","GU047","confusion",5,2,NA,NA,4,NA,NA,-1,NA,NA,-3,NA,NA
"279","GU047","fear",4.5,2,NA,NA,4,NA,NA,-0.5,NA,NA,-2.5,NA,NA
"280","GU047","frustration",3.5,2,NA,NA,4,NA,NA,0.5,NA,NA,-1.5,NA,NA
"281","GU047","sadness",4.5,2,NA,NA,4,NA,NA,-0.5,NA,NA,-2.5,NA,NA
"282","GU047","shock",3,NA,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA
"283","GU048","anger",3,5,NA,4,3,NA,2.75,0,NA,-0.25,2,NA,1
"284","GU048","confusion",3,3,NA,1.75,4,NA,3.5,1,NA,0.5,0,NA,-1.25
"285","GU048","fear",5,3,NA,NA,5,NA,5,0,NA,0,-2,NA,NA
"286","GU048","frustration",5,3,NA,2.5,5,NA,4.25,0,NA,-0.75,-2,NA,-2.5
"287","GU048","sadness",3,5,NA,2.25,4,NA,4.25,1,NA,1.25,2,NA,-0.75
"288","GU048","shock",4,2,NA,2,4,NA,4.75,0,NA,0.75,-2,NA,-2
"289","GU049","anger",1,1,1,NA,1,1,NA,0,0,NA,0,0,NA
"290","GU049","confusion",1,1,1,NA,1,5,NA,0,4,NA,0,0,NA
"291","GU049","fear",1,1,1,NA,1,2,NA,0,1,NA,0,0,NA
"292","GU049","frustration",1,1,1,NA,1,2,NA,0,1,NA,0,0,NA
"293","GU049","sadness",3,1,4,NA,3,5,NA,0,2,NA,-2,1,NA
