"","Subject","age","gender"
"599","NYU094",19,"Female"
"600","NSU169",25,"Female"
"601","NYU095",19,"Female"
"602","NYU096",57,"Male"
"603","STAN126",30,"Female"
"604","STAN080",21,"Female"
"605","GU020",19,"Female"
"606","STLC025",18,"Female"
"607","UCSC059",35,"Female"
"608","YALE025",21,"Female"
"609","STAN073",29,"Male"
"610","GU008",20,"Female"
"611","NSU157",36,"Male"
"612","NYU101",34,"Female"
"613","NSU122",25,"Female"
"614","UCSC039",21,"Female"
"615","STAN013",22,"Female"
"616","STAN115",23,"Female"
"617","GU140",20,"Female"
"618","YALE027",19,"Male"
"619","NYU105",21,"Female"
"620","GU068",20,"Female"
"621","STLM030",67,"Female"
"622","NYU108",60,"Female"
"623","NYU109",23,"Male"
"624","STLC085",19,"Female"
"625","NSU044",29,"Female"
"626","YALE028",52,"Female"
"627","STLM072",93,"Female"
"628","NSU143",24,"Female"
"629","NSU116",34,"Male"
"630","NYU117",20,"Female"
"631","STLM056",85,"Female"
"632","YALE029",69,"Male"
"633","NYU336",18,"Female"
"634","STAN155",31,"Female"
"635","YALE031",39,"Male"
"636","STAN051",22,"Female"
"637","STAN042",18,"Female"
"638","STLC044",21,"Male"
"639","STLM130",87,"Female"
"640","STLC049",21,"Female"
"641","STLM161",58,"Female"
"642","UCSC035",20,"Female"
"643","STAN071",61,"Female"
"644","YALE032",22,"Male"
"645","NYU120",26,"Female"
"646","NYU121",20,"Female"
"647","NSU152",27,"Male"
"648","NYU122",18,"Male"
"649","STLC001",36,"Female"
"650","STAN084",69,"Female"
"651","NSU074",68,"Male"
"652","STAN134",21,"Female"
"653","STAN158",21,"Male"
"654","STLC051",21,"Male"
"655","STAN011",24,"Female"
"656","UCSC015",45,"Female"
"657","STLC072",21,"Male"
"658","GU159",18,"Male"
"659","NYU136",19,"Female"
"660","NYU137",49,"Male"
"661","NSU118",31,"Male"
"662","NSU086",54,"Male"
"663","STAN141",33,"Male"
"664","NSU047",27,"Female"
"665","NSU085",33,"Male"
"666","NYU141",20,"Female"
"667","NYU142",23,"Male"
"668","NSU197",53,"Female"
"669","NSU059",38,"Female"
"670","NYU145",22,"Female"
"671","STLM201",66,"Male"
"672","NSU010",45,"Female"
"673","NYU146",23,"Male"
"674","YALE038",37,"Male"
"675","YALE039",20,"Male"
"676","GU110",20,"Female"
"677","STAN036",21,"Male"
"678","UCSC067",25,"Not stated"
"679","NSU020",53,"Male"
"680","UCSC066",21,"Female"
"681","UCSC021",19,"Female"
"682","NYU150",21,"Female"
"683","NYU151",82,"Male"
"684","STLM063",72,"Female"
"685","STLM002",54,"Female"
"686","STLM049",75,"Female"
"687","STAN160",47,"Male"
"688","STAN083",19,"Female"
"689","NYU160",24,"Male"
"690","YALE044",20,"Female"
"691","STLM046",49,"Female"
"692","NYU162",48,"Female"
"693","NSU174",18,"Female"
"694","STLM024",66,"Female"
"695","GU080",25,"Male"
"696","NYU164",23,"Female"
"697","STLM128",84,"Female"
"698","STLC086",20,"Female"
"699","NSU062",47,"Female"
"700","GU045",20,"Female"
"701","NYU166",25,"Female"
"702","NSU032",50,"Female"
"703","STLC053",21,"Female"
"704","NYU167",21,"Male"
"705","NYU168",18,"Female"
"706","STAN092",22,"Female"
"707","UCSC005",21,"Female"
"708","NSU121",25,"Male"
"709","NSU135",32,"Female"
"710","UCSC014",22,"Female"
"711","NYU170",51,"Male"
"712","STLM120",37,"Female"
"713","STAN131",18,"Female"
"714","STLC035",20,"Female"
"715","NSU186",45,"Female"
"716","STAN113",20,"Female"
"717","UCSC064",21,"Female"
"718","YALE051",20,"Female"
"719","NYU175",32,"Female"
"720","NSU167",19,"Female"
"721","STLM038",41,"Female"
"722","NSU126",58,"Male"
"723","GU022",20,"Female"
"724","STAN103",41,"Female"
"725","UCSC026",24,"Female"
"726","NYU177",27,"Female"
"727","NSU184",40,"Female"
"728","NYU180",20,"Female"
"729","STLM186",59,"Female"
"730","STAN078",23,"Female"
"731","STAN137",23,"Male"
"732","GU109",22,"Male"
"733","NYU182",17,"Male"
"734","NYU183",79,"Female"
"735","NYU187",46,"Female"
"736","NYU188",30,"Female"
"737","STAN037",19,"Female"
"738","NYU189",43,"Male"
"739","GU115",29,"Female"
"740","NYU190",31,"Female"
"741","STAN116",19,"Male"
"742","NSU142",27,"Male"
"743","NYU191",18,"Female"
"744","UCSC001",25,"Female"
"745","NSU164",53,"Female"
"746","STLC087",19,"Female"
"747","GU161",22,"Male"
"748","STAN085",80,"Male"
"749","STLM023",41,"Female"
"750","NYU196",19,"Female"
"751","STAN156",26,"Female"
"752","YALE055",21,"Female"
"753","STLM150",82,"Female"
"754","NYU198",47,"Male"
"755","NSU040",24,"Female"
"756","NYU199",22,"Female"
"757","STLM084",85,"Female"
"758","STLC009",43,"Female"
"759","NSU150",22,"Female"
"760","NSU178",25,"Male"
"761","STAN024",18,"Female"
"762","STAN133",18,"Female"
"763","GU064",19,"Female"
"764","NYU202",54,"Female"
"765","GU062",19,"Female"
"766","GU077",21,"Female"
"767","YALE059",28,"Female"
"768","NSU153",39,"Female"
"769","GU146",20,"Female"
"770","STAN046",19,"Male"
"771","NYU209",34,"Female"
"772","UCSC033",21,"Female"
"773","GU122",21,"Female"
"774","GU150",19,"Female"
"775","HUY002",19,"Male"
"776","HUY004",18,"Female"
"777","HUY006",18,"Female"
"778","HUY007",18,"Female"
"779","HUY008",19,"Male"
"780","HUY009",18,"Female"
"781","HUY013",18,"Male"
"782","HUY017",17,"Female"
"783","HUY018",17,"Male"
"784","HUY019",18,"Female"
"785","HUY020",18,"Male"
"786","HUY021",19,"Male"
"787","HUY023",18,"Female"
"788","HUY024",18,"Male"
"789","HUY025",18,"Female"
"790","HUY026",17,"Male"
"791","HUY028",18,"Female"
"792","HUY030",18,"Male"
"793","HUY031",18,"Male"
"794","HUY032",18,"Male"
"795","HUY037",17,"Male"
"796","NSU046",47,"Female"
"797","NSU125",38,"Female"
"798","NYU330",23,"Male"
"799","NYU331",29,"Female"
"800","NYU335",53,"Male"
"801","STAN057",25,"Female"
"802","HUE033",64,"Female"
"803","STLM193",63,"Female"
"804","NSU011",28,"Female"
"805","HUE009",65,"Female"
"806","HUE002",74,"Female"
"807","HUE003",72,"Female"
"808","HUE005",73,"Male"
"809","HUE006",67,"Female"
"810","HUE007",69,"Male"
"811","HUE008",73,"Male"
"812","HUE010",68,"Female"
"813","HUE011",66,"Female"
"814","HUE013",69,"Female"
"815","HUE015",66,"Female"
"816","HUE018",66,"Female"
"817","HUE020",74,"Female"
"818","HUE021",72,"Female"
"819","HUE022",76,"Female"
"820","HUE026",70,"Female"
"821","HUE028",76,"Male"
"822","HUE029",71,"Female"
"823","HUE030",70,"Female"
"824","HUE032",72,"Female"
"825","STAN072",26,"Male"
"826","STLC028",17,"Female"
"827","STAN086",73,"Male"
"828","NYU210",19,"Female"
"829","NYU211",23,"Female"
"830","STLM093",66,"Female"
"831","NYU212",18,"Male"
"832","YALE063",20,"Female"
"833","NSU036",34,"Female"
"834","YALE065",26,"Female"
"835","STAN077",18,"Female"
"836","GU148",21,"Female"
"837","GU143",19,"Female"
"838","STAN039",17,"Female"
"839","UCSC069",21,"Female"
"840","NSU017",65,"Male"
"841","YALE066",47,"Male"
"842","NSU041",36,"Female"
"843","NYU217",36,"Female"
"844","GU101",19,"Female"
"845","YALE067",30,"Female"
"846","GU063",59,"Male"
"847","NYU220",20,"Female"
"848","STAN135",26,"Male"
"849","NYU224",30,"Female"
"850","NSU199",28,"Female"
"851","STAN082",19,"Female"
"852","UCSC019",22,"Male"
"853","NYU231",21,"Female"
"854","NYU234",27,"Female"
"855","NYU235",30,"Male"
"856","NSU091",26,"Male"
"857","NYU236",19,"Female"
"858","NSU123",38,"Female"
"859","STLM086",72,"Female"
"860","UCSC004",20,"Male"
"861","YALE069",35,"Male"
"862","NSU100",29,"Male"
"863","NYU239",80,"Female"
"864","YALE071",33,"Female"
"865","YALE072",23,"Female"
"866","STAN020",21,"Female"
"867","STAN001",19,"Female"
"868","NSU161",22,"Female"
"869","NYU240",21,"Female"
"870","UCSC038",22,"Female"
"871","STLM007",56,"Female"
"872","NSU140",22,"Female"
"873","GU153",20,"Female"
"874","NSU114",34,"Male"
"875","NSU088",27,"Female"
"876","STLM159",77,"Male"
"877","STAN120",20,"Female"
"878","NYU243",24,"Female"
"879","YALE073",58,"Female"
"880","YALE074",34,"Female"
"881","STLM112",89,"Female"
"882","GU026",19,"Female"
"883","STAN089",22,"Male"
"884","STAN105",37,"Female"
"885","NSU162",31,"Female"
"886","NYU246",18,"Female"
"887","NYU247",20,"Female"
"888","NYU248",19,"Female"
"889","NYU249",29,"Male"
"890","NYU250",19,"Female"
"891","NSU180",33,"Female"
"892","STAN096",30,"Female"
"893","NYU252",29,"Male"
"894","STLC065",24,"Male"
"895","STAN056",38,"Female"
"896","NSU008",31,"Female"
"897","YALE077",18,"Male"
"898","NYU254",34,"Male"
"899","STLM167",84,"Male"
"900","STLC058",18,"Female"
"901","GU084",20,"Female"
"902","STAN142",47,"Female"
"903","GU113",22,"Male"
"904","YALE078",26,"Female"
"905","NYU258",44,"Female"
"906","GU107",20,"Female"
"907","NYU260",19,"Female"
"908","STLC090",19,"Male"
"909","GU091",19,"Female"
"910","NSU179",16,"Female"
"911","NSU069",58,"Female"
"912","UCSC050",24,"Female"
"913","NSU082",48,"Female"
"914","NSU206",26,"Male"
"915","NYU267",21,"Female"
"916","NYU268",20,"Female"
"917","NYU269",41,"Female"
"918","STLM152",76,"Female"
"919","NSU090",52,"Male"
"920","YALE080",19,"Male"
"921","NYU273",24,"Male"
"922","NYU274",46,"Male"
"923","NYU275",19,"Male"
"924","STAN069",54,"Female"
"925","NYU279",52,"Female"
"926","STAN129",19,"Female"
"927","GU039",20,"Male"
"928","NYU280",28,"Female"
"929","UCSC060",43,"Female"
"930","NYU281",26,"Male"
"931","NYU282",18,"Female"
