Subject,Scope,Threat,BThreat
5eb33612d573b51326905f30,Self,2,0.250085616
5c90094e71f3100016181ea9,Self,3,0.5
5e82cbf3469f74a0b6d0fd29,Self,3,0.5
5d0d16d991270800010b7dd7,Self,1,0.000171233
5daa18ed95be5f00133609e8,Self,1,0.000171233
5e6027f12036113753519c82,Self,1,0.000171233
5b619b6c5256470001bcf992,Self,3,0.5
5e35d4a59d323458753819d2,Self,1,0.000171233
595b93be7882150001240e21,Self,1,0.000171233
5e37b3d7abde98738c0f1e7c,Self,4,0.749914384
5e29ada5d441690127fb5748,Self,2,0.250085616
5e84b8443f064006f1b5215c,Self,2,0.250085616
5dcca657854936945d68eaa9,Self,1,0.000171233
5cd321750316ed0017c81bcd,Self,5,0.999828767
5b4d39f2d4c93b00019c8217,Self,3,0.5
55b9a9b0fdf99b6906d2aba4,Self,2,0.250085616
58a43e029a17120001d910d5,Self,2,0.250085616
5edeb3b209233c154f4d552a,Self,1,0.000171233
5d9f8573ce3daf0015e3e400,Self,1,0.000171233
5de1986c040f531f97eb6092,Self,1,0.000171233
5490c822fdf99b71ba910e1a,Self,2,0.250085616
5831f08ebfb3b400015a6ad4,Self,5,0.999828767
5e6690ca0ef3a301da87b4d9,Self,2,0.250085616
5e9b621702bbdc069b2496c4,Self,4,0.749914384
5e6989bc651f7d241449fccf,Self,3,0.5
5e8537fe23609011fe987ca7,Self,1,0.000171233
5ea997837d28170bc5125c56,Self,1,0.000171233
5d378df21acda30001e7191e,Self,1,0.000171233
5cc1e9161758c700138de977,Self,3,0.5
5c82a8cdfff8430015e9942f,Self,3,0.5
5c925b0fb138fe0014e4036b,Self,1,0.000171233
5e5ab88a43f33029b119a48c,Self,1,0.000171233
5e19c8d1477f3b24e0ac5efa,Self,3,0.5
5a212dcc7b108200011e040c,Self,3,0.5
5c27f83289f035000174a168,Self,5,0.999828767
5ed081544e61f3163c036286,Self,1,0.000171233
5d6d6412f570e000184cf48b,Self,5,0.999828767
5bddf0f876219d00014b145e,Self,3,0.5
5dacf17a6f11e500163e3bc4,Self,3,0.5
5e4af9e73485dd000c99724e,Self,4,0.749914384
5bcb229aa8920a00013060fa,Self,3,0.5
5b15307351caaf0001228d9b,Self,1,0.000171233
5cb9bc10e50fe5001746c43b,Self,3,0.5
5a0d9553fe645f0001e9f852,Self,4,0.749914384
5c03217b1a20110001e979f0,Self,3,0.5
