Subject,TP,Question,Rating
5ec12ad1759b78000a4f9965,Now,DecreasedInPersonVisits,0.749828061
5e552a5e45774651f60e62b3,Now,DecreasedInPersonVisits,0.250171939
5dc1c27fb3e5c212018d9e33,Now,DecreasedInPersonVisits,0.5
5ec2f967fa87231315e8b60c,Now,DecreasedInPersonVisits,0.250171939
5e5b0bcc7a584430eb8bea65,Now,DecreasedInPersonVisits,0.5
5c971acab18d000001e1afd7,Now,DecreasedInPersonVisits,0.250171939
5e815773285d3883ba2fbbcf,Now,DecreasedInPersonVisits,0.000343879
5eb1bc2b9d57e52f90d13214,Now,DecreasedInPersonVisits,0.000343879
5b5c8d4e10aec90001ed4bee,Now,DecreasedInPersonVisits,0.000343879
5d63179aa3b94d0001da4bb6,Now,DecreasedInPersonVisits,0.5
5c742339e621f900163f4543,Now,DecreasedInPersonVisits,0.000343879
583b397f54686200010f1d20,Now,DecreasedInPersonVisits,0.5
59dc458f77860e000151240e,Now,DecreasedInPersonVisits,0.000343879
5b76ce43bfc4cb0001f2c4c3,Now,DecreasedInPersonVisits,0.5
5e80d8569d1bdf03449b0c2e,Now,DecreasedInPersonVisits,0.250171939
5e175705cfe8dc000b559793,Now,DecreasedInPersonVisits,0.250171939
5ddae85b393bd3a44d7cbaaa,Now,DecreasedInPersonVisits,0.000343879
5e1797da928b15062260e30e,Now,DecreasedInPersonVisits,0.5
5d612ae16512d700159face7,Now,DecreasedInPersonVisits,NA
55ddb84550a1f7000b90d65a,Now,DecreasedInPersonVisits,0.5
5e27868c5cbbcc0b3599574b,Now,DecreasedInPersonVisits,0.250171939
5c871f91e769f8000178afc8,Now,DecreasedInPersonVisits,0.000343879
5d461284d9b0690001720f6d,Now,DecreasedInPersonVisits,0.000343879
5e83abb4e0a2e40fd565226d,Now,DecreasedInPersonVisits,NA
5c28113978fad50001932f58,Now,DecreasedInPersonVisits,0.000343879
5e78bf026d9a62443b9d5b74,Now,DecreasedInPersonVisits,0.749828061
5dba287f9653e80734e335d7,Now,DecreasedInPersonVisits,0.000343879
58f10189738cac000116d3ab,Now,DecreasedInPersonVisits,0.250171939
5ee3c01c7247c006e9a3f4fd,Now,DecreasedInPersonVisits,0.000343879
59f226a9d6380600018b2923,Now,DecreasedInPersonVisits,NA
5a6f1ccade1f390001dbd8b7,Now,DecreasedInPersonVisits,0.5
5e7daa886c123242e86c8138,Now,DecreasedInPersonVisits,0.000343879
5ee64e85c682de3a880579c6,Now,DecreasedInPersonVisits,0.250171939
A1PAY3X73PQ16S,Now,DecreasedInPersonVisits,0.250171939
5c92870723bd7e001870138e,Now,DecreasedInPersonVisits,0.250171939
5d30a193b2cfe00017231a93,Now,DecreasedInPersonVisits,0.000343879
5d4c7ac3e8ec490018b0050d,Now,DecreasedInPersonVisits,0.749828061
5e84253b26729e1847f16611,Now,DecreasedInPersonVisits,0.250171939
5c70852d7826350001565ce4,Now,DecreasedInPersonVisits,0.000343879
5c40e7d99d27f00001159a65,Now,DecreasedInPersonVisits,0.250171939
5ab84333f69e940001d8f0af,Now,DecreasedInPersonVisits,0.000343879
5de82c263aa2777a36b996b2,Now,DecreasedInPersonVisits,0.250171939
5dd5db1ded7ea4574c7bc996,Now,DecreasedInPersonVisits,0.250171939
5d8c46cc53b833001a4bf916,Now,DecreasedInPersonVisits,0.000343879
5e606b1eaf84e83c728748d7,Now,DecreasedInPersonVisits,0.5
5ec46d59c1c5e016fafe11d6,Now,DecreasedInPersonVisits,0.250171939
5ea90a840928983752c88275,Now,DecreasedInPersonVisits,0.250171939
5e6ef5fbf14d264ae2ef3867,Now,DecreasedInPersonVisits,0.000343879
5bd9f569eb22f2000183df4e,Now,DecreasedInPersonVisits,0.250171939
5ee6706034f12e3d82d952aa,Now,DecreasedInPersonVisits,0.250171939
5ec6c96f5b660e0f25ea094c,Now,DecreasedInPersonVisits,0.5
5e9f55237c0db50bb0a02621,Now,DecreasedInPersonVisits,0.250171939
5ddc516e82a527bc2397e6e1,Now,DecreasedInPersonVisits,0.000343879
59c0782e5364260001dc4740,Now,DecreasedInPersonVisits,0.000343879
5edaf0abba14031b7899eb3f,Now,DecreasedInPersonVisits,0.000343879
5e69987e0873d600084bc920,Now,DecreasedInPersonVisits,0.5
5ed0091bd374190b9b04045d,Now,DecreasedInPersonVisits,0.250171939
5ea9cc7058ebeb11a12e659c,Now,DecreasedInPersonVisits,0.250171939
5761c23632676f0007eb36b3,Now,DecreasedInPersonVisits,NA
5e41d817cfafb807ef94486a,Now,DecreasedInPersonVisits,0.000343879
5c82656bed1753001581fd1e,Now,DecreasedInPersonVisits,0.000343879
5ec5a64c306f255ec98d5cc1,Now,DecreasedInPersonVisits,0.250171939
5ebe057674d69c15b1642055,Now,DecreasedInPersonVisits,0.5
57d6dd8d6598aa000199188b,Now,DecreasedInPersonVisits,0.749828061
597fe89a1b41a20001749f57,Now,DecreasedInPersonVisits,0.000343879
5eea5252da0cfc115e24e69b,Now,DecreasedInPersonVisits,0.250171939
5ee3a34e16ad19048aef74f6,Now,DecreasedInPersonVisits,0.000343879
56fdff4ee0f9ff000f19c466,Now,DecreasedInPersonVisits,0.250171939
 5ad4a9f30f5d3900016a4d8b ,Now,DecreasedInPersonVisits,0.250171939
5ec81134ac7d6b2b9ac51453,Now,DecreasedInPersonVisits,0.000343879
5edfb0770fb0722aa3839b6d,Now,DecreasedInPersonVisits,0.000343879
5b32c0ff975e260001e97d0e,Now,DecreasedInPersonVisits,0.250171939
5ee232f2b970662cfa352567,Now,DecreasedInPersonVisits,0.5
5eb52896e034073a7b8aa981,Now,DecreasedInPersonVisits,0.000343879
5cf21b7b2456d90001ee8e40,Now,DecreasedInPersonVisits,0.000343879
5eb02a40b17a8c0868685d32,Now,DecreasedInPersonVisits,0.000343879
5953d01e4d560700016462da,Now,DecreasedInPersonVisits,0.000343879
5c6a36214fbf270001311702,Now,DecreasedInPersonVisits,0.000343879
5ed062703c9248144a334cb4,Now,DecreasedInPersonVisits,0.749828061
5e065bba5a342503b3f3e0bc,Now,DecreasedInPersonVisits,0.5
5eaa6339b2e5311e8e020396,Now,DecreasedInPersonVisits,0.5
5ede8a971588b310e81f852f,Now,DecreasedInPersonVisits,0.250171939
5e2039ccf0b71e34ef9c60a2,Now,DecreasedInPersonVisits,0.5
5e8be450affef10d24343a7f,Now,DecreasedInPersonVisits,0.250171939
5a04869ff2e3460001edad2e,Now,DecreasedInPersonVisits,NA
5d4a41890e604c00011ade8b,Now,DecreasedInPersonVisits,0.250171939
5d5fa32a0fc94a0001632ac7,Now,DecreasedInPersonVisits,NA
5d344bd3b0f315001a122275,Now,DecreasedInPersonVisits,0.5
5df162b6c76aa6080c4c7694,Now,DecreasedInPersonVisits,0.999656121
546f8a9cfdf99b4a593414ea,Now,DecreasedInPersonVisits,0.5
5dc47ddd034b45342d3b2e3a,Now,DecreasedInPersonVisits,NA
5a21b2e1e473b80001baaa09,Now,DecreasedInPersonVisits,0.5
5c2d187569ceff00011417de,Now,DecreasedInPersonVisits,0.250171939
5687d85e369319000c269c55,Now,DecreasedInPersonVisits,0.000343879
5e1f938b06121f2be0d1ead4,Now,DecreasedInPersonVisits,0.000343879
5eac6f1aa8b3bb0dcfebeba9,Now,DecreasedInPersonVisits,0.000343879
5eb635754bbde6534e62c05e,Now,DecreasedInPersonVisits,0.000343879
5d7b2e78698dea001853b5ec,Now,DecreasedInPersonVisits,0.000343879
5bfd81fb2feab400014d9060,Now,DecreasedInPersonVisits,0.250171939
5dd1964987c1fd2082c4d88e,Now,DecreasedInPersonVisits,0.000343879
5d7af4ee784e52001b9b02da,Now,DecreasedInPersonVisits,0.5
5e8fa34befd9542a66b02feb,Now,DecreasedInPersonVisits,0.000343879
5e820eb36551aa02fd72e1dc,Now,DecreasedInPersonVisits,0.250171939
5de01c13c3a15e0a03332169,Now,DecreasedInPersonVisits,0.5
5ea5d2b8d2bc3308f7af06d5,Now,DecreasedInPersonVisits,0.5
59c6305e6a287600011c388d,Now,DecreasedInPersonVisits,0.250171939
57a761c22fc0d400012c9656,Now,DecreasedInPersonVisits,0.000343879
5d83d2f1ae7a8b00017ec6a9,Now,DecreasedInPersonVisits,0.250171939
56e130548b1c33000a388671,Now,DecreasedInPersonVisits,0.000343879
5c0f1cf4f3027300014b606f,Now,DecreasedInPersonVisits,0.000343879
5c92cda483617d0010bef1b8,Now,DecreasedInPersonVisits,0.250171939
5d558ebe886e3f0020e90fce,Now,DecreasedInPersonVisits,0.5
